category,year,rating,vader_compound,token_len,review_text,mismatch_type
Sports,2022,4.0,-0.5574,128,"Not much diffence among different brands. I got these 3700-sized waterproof tackle boxes to supplement several similar boxes made by Plano. Other than the color of the seal and labeling, I can't tell any differences between these and the Plano equivalents. Functionally, they both seal well. These boxes include two small plastic boxes that fit between two of the long dividers (see attached photo). These small boxes may come in handle for storing small swivels or hooks, but insignificant for choosing one brand over the other in my opinion. The Plano boxes generally have slightly higher listing prices, but most of the time, you can catch discounts that make prices for the Planos lower than these. I would just buy whichever is cheaper at the time of purchase.",high_star_low_vader
Sports,2017,5.0,-0.6103,35,No one knows that its a secret compartment!. .... No one knows that its a secret compartment!.. Apparently all bikes (cruisers) back in the day used to have something similar. It could be softer though,high_star_low_vader
Sports,2017,5.0,-0.6759,8,Five Stars. Nothing but the best from Yeti,high_star_low_vader
Sports,2015,5.0,-0.875,58,"The Medicine Arm. My compression arm sleeves are great. Having an aching arm, that happen during a snowy day,falling on the ice. As soon as the arm compression was put on, the pain had vanish like a floating cloud. Years of a sore arm, using up pain killers and muscles rub; now the pockets look a little chubby.",high_star_low_vader
Sports,2018,5.0,-0.7276,97,"Quality product. Didn't work for what I intended but they are qua none the less. I had gotten a similar item elsewhere and I was able to remove the clip an dude the green velcro loop for other things. These have clip seen in so it can't come out. That's great if yours buying this for its obvious uses, but not so great if you wanted it for parts. The main reason even included this, is cause I hate when people give something 2-3 stars cause it didn't work for some oddball purpose the had in mind.",high_star_low_vader
Sports,2022,5.0,-0.5197,70,"Amazing transformation!. Our 10' unlit tree was transformed into a beautiful snow covered giant. It does require patience and lots of water to set the flakes, but I couldn't be happier with it. I will update with pictures after I pull tree out from storage this winter if it has yellowed or fallen off more than expected, but I will probably be doing all my decor with this going forward.",high_star_low_vader
Sports,2021,5.0,-0.9481,47,"Weak seat. What a shame, use that seat for the first time in the beach snd it broke. the legs are very weak, I ended up sitting on the sand. This chair is for children. It does not support the weight of an adult. What a disappointment.",high_star_low_vader
Sports,2017,5.0,-0.5216,89,"Will be able to take some swings when the wind and weather is not nice outside. Come spring and summer. I recently set up for the first time. I was not hard even if I did it in the garage. I practice with one of my irons. The product is as advertised and simple to set up and take down. Will be able to take some swings when the wind and weather is not nice outside. Come spring and summer, it will be use outside in the back yard.",high_star_low_vader
Sports,2023,5.0,-0.8929,70,"Perfect Sewing Kit!. Some evil porch pirate swiped my previous sewing kit (also this style tackle box) during a recent move. I tried several cheaper replacement options but wasn't happy. This box has all the room for tiny notions, elastics, and tools I need for my sewing projects. I only have one of my grandmother's thimbles that was elsewhere during the theft. A proper Irish curse on all porch pirates!",high_star_low_vader
Sports,2015,5.0,-0.612,7,stands out but not overbearing. Excellent .,high_star_low_vader
Sports,2018,5.0,-0.8297,46,My go to for Dh to xc bike cleaning.. This crap works!!! No joke i put alot on and scrub it with a dish brush for about 2 min no longer as it can cause paint damage clean with water and pow cassette looks new !,high_star_low_vader
Sports,2019,5.0,-0.6059,27,"It works. Works pretty good for the price. The only problem is the thumb screw tensioner loosens when in use, but maybe I had it on wrong?",high_star_low_vader
Sports,2019,4.0,-0.6735,76,Not sure what the problem is. At times it is quite difficult to take a pull from the mouth piece - as others have noted. Sometimes I un-tilt the HydroFlask and it fixes itself. Sometimes I blow lightly while tilted and that fixes it. Sometimes no matter what I do the pull is tough and then I can try it again 10 mins later and there is no issue. Everything else about the lid is excellent.,high_star_low_vader
Sports,2016,4.0,-0.9317,75,"OK, but damages the bike where you clamp it on.. I was tempted to give it three stars because of the terrible clamping design that others have complained about where the screw threads ruin the paint/finish on your bike where you clamp it on. There is no excuse for this issue that could be easily fixed. Other than that it works well for me and I'm going to purchase another one for my other bike.",high_star_low_vader
Sports,2015,4.0,-0.5794,35,"they do the job. i shared these bands with co-workers. the black band broke after 1 wee the other bands are hanging in there, but the plastic guard is not strong as the FitBit brand",high_star_low_vader
Sports,2020,5.0,-0.624,30,I use it in the car. I'm using this for sitting in the car. I have lost 70 lbs and my bony butt gets more sore with longer car rides.,high_star_low_vader
Sports,2019,4.0,-0.5088,20,Perfect and compact. Feels like it could break easily but i have had no issues. Perfect for small cook sets!,high_star_low_vader
Sports,2016,5.0,-0.5267,18,Five Stars. excellent quality sleeping bag but for the price i would be seriously unhappy if it wasnt,high_star_low_vader
Sports,2018,5.0,-0.5091,40,Let em go or beatem to death. Works great but is larger and not great for hooks smaller than a 1. Nice handle was able.to unhook and beat salmon to death over and over all summer long. Alaskan Guide Approved,high_star_low_vader
Sports,2017,5.0,-0.5994,4,Five Stars. Precision die.,high_star_low_vader
Sports,2020,5.0,-0.6492,34,Reason light didn't turn on. Good product. Just remember to hold the orange button for 2 seconds to turn on the light. I thought mine was defective before seeing the message on the box.,high_star_low_vader
Sports,2023,5.0,-0.5003,60,"Amazing quality for the price !. First time buying Night Vision Goggles. Mostly due to the cost and not sure how the technology has been in the past. I have a 2 acre property, and I'm able to see everything throughout my yard with these bad boys! No more guessing if anyone or anything is lurking in my yard !",high_star_low_vader
Sports,2019,5.0,-0.6351,17,Must have!!. This is a must for gas block installs. Seriously was a breeze using the tool.,high_star_low_vader
Sports,2015,5.0,-0.605,80,"A MUST HAVE..... FUN,ACCURATE AND WELL MADE. 100% satisfied with this pistol. shoots very well and accurate right out of the box. well made, you wont be sorry but the squirrels will be. WARNING**** do NOT use MARKSMAN bb's in this gun.....I had one jam in the barrel of this gun and another co2 pistol the same day! after removal and inspection the marksman bbs are not exactly round and some actually have a seam. use a zinc coated bb......daisy",high_star_low_vader
Sports,2015,4.0,-0.6688,22,War Eagle!. Nice distressed Auburn shirt....runs a little small I thought. a bit softer (and lighter) than many collegiate shirts out there!,high_star_low_vader
Sports,2021,5.0,-0.5216,10,They do not budge. Love these towels. Have bought multiples.,high_star_low_vader
Sports,2018,5.0,-0.5423,7,Five Stars. Emits a bad chemical smell.,high_star_low_vader
Sports,2018,5.0,-0.9001,20,"NO MORE MORE GUN OIL.. Non toxic. NO oil residue. Makes for the quickest, most thorough cleaning I've ever done.",high_star_low_vader
Sports,2017,4.0,-0.861,15,So ugly it scares away the fish.. Its ugly and nothing will come near it.,high_star_low_vader
Sports,2018,5.0,-0.925,53,This is very sturdy. The lag screws that come with are very .... This is very sturdy. The lag screws that come with are very heavy duty. I think the joists in my ceiling will fail before this one. No need to pay triple the price for one of the other brackets available.,high_star_low_vader
Sports,2021,4.0,-0.5562,48,"Works great.. Rope, buoy, and harness worked great! Bait bag worked o.k., but the rubber bands with the small hook broke almost immediately when setting up crab pots. Used larger rubber bands, even that broke once in the water. Ended up using zip ties when on the water.",high_star_low_vader
Sports,2023,5.0,-0.9394,69,"Keeps My Anxiety Down. I don't care for sports, but my kids are nuts about hockey. After getting pelted with a variety of pucks, including a real one to the temple, I got these soft, lightweight little guys. The kids are still noisy with the sticks on the floor, but nothing is likely to get broken, and I seriously doubt these will send anyone to the dentist or ER.",high_star_low_vader
Sports,2017,4.0,-0.507,22,"decent for the price!!!!. not as sturdy as it appears,but will do on my bike where the clip on one won't fit.",high_star_low_vader
Sports,2015,4.0,-0.6057,15,Four Stars. Great bike but the handle is very loose and wobbly. Not good control.,high_star_low_vader
Sports,2019,4.0,-0.743,20,Check the U Bolts. Check the U-Bolt tightness regularly or else you lose them. They will vibrate the nuts loose.,high_star_low_vader
Sports,2021,5.0,-0.5267,18,No sweat.. This device is a no brained and it does exactly what you think it would do.,high_star_low_vader
